game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,venue,venue_link
2017030113,20172018,Postseason,4/16/18,14,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2017030114,20172018,Postseason,4/18/18,14,1,3,1,Mercedes-Benz Stadium,/api/v1/venues/null
2013020521,20132014,Regular Season,12/19/13,9,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2012020461,20122013,Regular Season,3/23/13,13,1,1,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020357,20132014,Regular Season,11/26/13,52,1,3,1,Mercedes-Benz Stadium,/api/v1/venues/null
2012020681,20122013,Regular Season,4/23/13,8,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2013020661,20132014,Regular Season,1/10/14,25,1,0,1,Mercedes-Benz Stadium,/api/v1/venues/null
2013020203,20132014,Regular Season,11/2/13,4,1,1,0,Mercedes-Benz Stadium,/api/v1/venues/null
2014020708,20142015,Regular Season,1/29/15,10,1,1,1,Mercedes-Benz Stadium,/api/v1/venues/null
2014021163,20142015,Regular Season,4/3/15,8,1,2,2,Mercedes-Benz Stadium,/api/v1/venues/null
2014021072,20142015,Regular Season,3/21/15,2,1,3,0,Mercedes-Benz Stadium,/api/v1/venues/null
2014020846,20142015,Regular Season,2/18/15,7,1,1,1,Mercedes-Benz Stadium,/api/v1/venues/null
2016020107,20162017,Regular Season,10/28/16,16,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2015020981,20152016,Regular Season,3/6/16,5,1,4,1,Mercedes-Benz Stadium,/api/v1/venues/null
2017020952,20172018,Regular Season,2/24/18,2,1,1,2,Mercedes-Benz Stadium,/api/v1/venues/null
2017020058,20172018,Regular Season,10/13/17,15,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2012020142,20122013,Regular Season,2/8/13,14,1,2,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013021061,20132014,Regular Season,3/22/14,3,1,2,0,Mercedes-Benz Stadium,/api/v1/venues/null
2013021042,20132014,Regular Season,3/20/14,30,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020179,20132014,Regular Season,10/29/13,14,1,1,2,Mercedes-Benz Stadium,/api/v1/venues/null
2012020178,20122013,Regular Season,2/13/13,12,1,2,2,Mercedes-Benz Stadium,/api/v1/venues/null
2012020128,20122013,Regular Season,2/6/13,3,1,1,3,Mercedes-Benz Stadium,/api/v1/venues/null
2012020697,20122013,Regular Season,4/25/13,5,1,2,3,Mercedes-Benz Stadium,/api/v1/venues/null
2013020116,20132014,Regular Season,10/19/13,3,1,0,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020285,20132014,Regular Season,11/16/13,26,1,2,0,Mercedes-Benz Stadium,/api/v1/venues/null
2012020410,20122013,Regular Season,3/16/13,8,1,2,1,Mercedes-Benz Stadium,/api/v1/venues/null
2012020324,20122013,Regular Season,3/6/13,14,1,3,2,Mercedes-Benz Stadium,/api/v1/venues/null
2013020396,20132014,Regular Season,12/1/13,7,1,0,1,Mercedes-Benz Stadium,/api/v1/venues/null
2013021026,20132014,Regular Season,3/18/14,6,1,2,2,Mercedes-Benz Stadium,/api/v1/venues/null
